,Name,Type,Alias,Rating,Num_Reviews,THC%,Other_Cannabinoids,Main_Effect,Terpene
982,Pistachio,Hybrid,NA,4.4,5,THC —,CBD —,Energetic,
983,Silver Bubble,Hybrid,NA,4.3,71,THC 17%,CBG 2%,Talkative,Myrcene
984,Garlic Sherbet,Hybrid,"aka Garlic Sherbert, Garlic Sherb",4.8,11,THC 25%,CBG 1%,Focused,Pinene
985,Hellfire OG,Hybrid,"aka Hell's Fire, Hellfire, Hell's Fire OG",4.5,81,THC 20%,CBG 1%,Euphoric,Myrcene
986,Critical Purple Kush,Hybrid,NA,4.7,20,THC 13%,CBG 1%,Happy,Myrcene
987,Mendo Cookies,Hybrid,"aka Mendocino Cookies, Mendo Chocolate Cookies",4.7,11,THC 17%,CBD 0%,Happy,Caryophyllene
988,OG Shark,Hybrid,aka Shark OG,4.5,141,THC —,CBD —,Happy,
989,Purple Mountain Majesty,Hybrid,NA,4.4,20,THC 17%,CBD 0%,Happy,Pinene
990,Sunny D,Hybrid,aka Sunny Delight,4.5,30,THC 19%,CBG 1%,Happy,Myrcene
991,Devil,Hybrid,NA,4.6,5,THC —,CBD —,Aroused,
992,Rockstar Kush,Indica,aka BC Rockstar,4.2,94,THC —,CBD —,Sleepy,
993,Yeti OG,Indica,"aka Headband BX, Yeti",4.5,69,THC 21%,CBG 1%,Sleepy,Myrcene
994,Cookie Glue,Hybrid,NA,4.7,22,THC 20%,CBG 1%,Hungry,Caryophyllene
995,BC Big Bud,Hybrid,NA,4.4,78,THC 14%,CBG 1%,Aroused,Limonene
996,Blueberry Skunk,Indica,"aka Blue Skunk, Maryhill Skunkberry",4.3,131,THC 19%,CBG 1%,Giggly,Myrcene
997,G Purps,Indica,NA,4.1,21,THC 19%,CBG 1%,Hungry,Myrcene
998,Martian Candy,Hybrid,NA,4.6,37,THC 25%,CBD 0%,Uplifted,Caryophyllene
999,Pineapple Super Silver Haze,Sativa,aka Pineapple SSH,4.6,64,THC 18%,CBG 2%,Creative,Terpinolene
1000,﻿Blue Alien,Indica,aka Blue Alien Kush,4.5,83,THC 17%,CBD 0%,Sleepy,Myrcene
1001,Love Potion,Sativa,aka Love Potion #1,4.4,139,THC —,CBD —,Aroused,
1002,Milk Bone,Hybrid,aka Milk Bone F2,4.2,21,THC 23%,CBG 1%,Hungry,Myrcene
1003,Citral Flo,Hybrid,NA,4.4,8,THC 22%,CBG 1%,Talkative,Caryophyllene
1004,Super Sherb,Hybrid,"aka Super Sherb #4, Super Sherbert",4.7,6,THC 17%,CBD 0%,Sleepy,Caryophyllene
1005,Napalm OG,Hybrid,NA,4.5,17,THC —,CBD —,Euphoric,
1006,Whitewalker OG,Indica,aka Whitewalker OG Kush,4.7,108,THC 22%,CBD 0%,Sleepy,Limonene
1007,Willy's Wonder,Indica,"aka William's Wonder, Willys",4.2,242,THC 19%,CBG 1%,Sleepy,Pinene
1008,Elephant,Sativa,NA,4.3,21,THC 18%,CBG 1%,Aroused,Pinene
1009,Mango Tango,Hybrid,NA,4.6,96,THC 22%,CBD 0%,Giggly,Myrcene
1010,Crazy Glue,Hybrid,NA,4.4,16,THC 21%,CBG 1%,Relaxed,Caryophyllene
1011,Grape Gorilla Glue,Hybrid,aka Grape GG,4.3,14,THC 26%,CBD 0%,Relaxed,Caryophyllene
1012,Frozen Lemons,Hybrid,NA,4.6,17,THC —,CBD —,Happy,
1013,Banana Mango,Hybrid,NA,4.7,6,THC 15%,CBD 0%,Happy,Caryophyllene
1014,Tangerine Kush,Indica,NA,4.1,268,THC 18%,CBG 1%,Sleepy,Myrcene
1015,Moose and Lobsta,Sativa,NA,4.8,93,THC 23%,CBG 2%,Energetic,Myrcene
1016,Double OG,Indica,aka Double OG Kush,4.5,44,THC —,CBD —,Sleepy,
1017,Trinity,Sativa,NA,4.3,186,THC 20%,CBG 1%,Uplifted,Myrcene
1018,Shishka Blues,Indica,aka Shishka-Blues,4.2,6,THC —,CBD —,Euphoric,
1020,Race Fuel OG,Hybrid,NA,4.7,50,THC —,CBD —,Hungry,
1021,Sugar Cone,Hybrid,NA,3.8,6,THC 13%,CBD 0%,Focused,Caryophyllene
1022,Josh D OG,Indica,NA,4.1,35,THC 24%,CBG 1%,Relaxed,Myrcene
1023,Purple Cream,Indica,NA,4.3,85,THC 18%,CBD 0%,Sleepy,Myrcene
1024,Moon Cookies,Hybrid,NA,4.8,20,THC 20%,CBG 1%,Creative,Caryophyllene
1025,Violator Kush,Indica,NA,4.3,327,THC 18%,CBG 1%,Sleepy,Myrcene
1026,Red Cherry Berry,Hybrid,aka Red Berry Cherry,4.0,39,THC —,CBD —,Relaxed,
1027,Durban Cookies,Sativa,NA,4.6,77,THC 21%,CBG 1%,Energetic,Myrcene
1028,Citrus Sunshine Haze,Hybrid,"aka Sunshine Haze, Citrus Haze",4.7,34,THC 24%,CBG 2%,Creative,Myrcene
1029,Mango Dream,Sativa,NA,4.0,52,THC 18%,CBD 0%,Energetic,Myrcene
1030,Divine Storm,Unknown,NA,4.7,7,THC —,CBD —,Sleepy,
1031,LA Wedding Pop,Sativa,NA,4.5,46,THC 21%,CBG 1%,Talkative,Caryophyllene
1032,Blue Dragon,Hybrid,NA,4.3,254,THC 20%,CBD 0%,Uplifted,Myrcene
1033,Fruit of the Gods,Hybrid,"aka F.O.G., Fog",4.3,6,THC —,CBD —,Creative,
1034,Purple Sour Diesel,Hybrid,NA,4.2,273,THC 16%,CBD 0%,Hungry,Myrcene
1035,Supreme Diesel,Unknown,NA,4.7,13,THC 20%,CBD 0%,Tingly,Myrcene
1036,Florida Kush,Hybrid,NA,4.6,21,THC —,CBD —,Sleepy,
1037,Killer Queen,Hybrid,NA,4.3,149,THC 17%,CBG 1%,Energetic,Caryophyllene
1038,Crunch Berry Kush,Hybrid,aka Crunch Berries,4.6,59,THC —,CBD —,Euphoric,
1039,Apple Mac,Hybrid,NA,4.6,13,THC 18%,CBD 0%,Focused,Myrcene
1040,Pineapple Trainwreck,Hybrid,aka Pineapple Wreck,4.2,243,THC 17%,CBD 0%,Talkative,Myrcene
1042,White Guava,Hybrid,aka White Hot Guava,4.9,11,THC —,CBD —,Relaxed,
1043,Raspberry Cough,Sativa,NA,4.4,129,THC 16%,CBD 0%,Energetic,Myrcene
1044,Orange Daiquiri,Hybrid,NA,4.7,14,THC —,CBD —,Giggly,
1045,Gelato Sorbet,Hybrid,aka Sherbet Gelato,4.8,6,THC —,CBD —,Focused,
1046,Irene OG,Hybrid,"aka Irene Kush, Irene OG Kush",4.6,94,THC —,CBD —,Creative,
1047,Apricot Jelly,Hybrid,NA,4.7,15,THC 20%,CBG 1%,Focused,Caryophyllene
