,Name,Type,Alias,Rating,Num_Reviews,THC%,Other_Cannabinoids,Main_Effect,Terpene
0,Ice Cream Cake,Indica,NA,4.6,1039,THC 23%,CBG 1%,Sleepy,Caryophyllene
1,Gelato,Hybrid,"aka Gelato 42, Larry Bird",4.6,2219,THC 16%,CBD 0%,Euphoric,Caryophyllene
2,Blue Dream,Hybrid,NA,4.3,14300,THC 18%,CBD 0%,Creative,Myrcene
3,Sour Diesel,Sativa,"aka Sour D, Sour Deez",4.3,8264,THC 19%,CBD 0%,Energetic,Caryophyllene
4,Dosidos,Hybrid,"aka Dosi, Do-Si-Dos",4.6,1073,THC 20%,CBG 1%,Sleepy,Limonene
5,Apple Fritter,Hybrid,NA,4.5,346,THC 25%,CBD 0%,Relaxed,Caryophyllene
6,GSC,Hybrid,aka Girl Scout Cookies,4.4,7409,THC 19%,CBG 1%,Hungry,Caryophyllene
7,Zkittlez,Indica,"aka Skittles, Skittlz, Island Zkittlez",4.5,857,THC 20%,CBG 1%,Relaxed,Caryophyllene
8,OG Kush,Hybrid,aka Premium OG Kush,4.3,5476,THC 18%,CBD 0%,Hungry,Myrcene
9,Mac 1,Hybrid,aka The MAC,4.7,353,THC 22%,CBG 1%,Uplifted,Limonene
10,Biscotti,Hybrid,NA,4.6,393,THC 22%,CBG 2%,Tingly,Caryophyllene
11,Purple Punch,Indica,NA,4.6,1506,THC 18%,CBD 0%,Sleepy,Caryophyllene
12,White Widow,Hybrid,NA,4.3,4402,THC 15%,CBG 1%,Energetic,Myrcene
13,Jack Herer,Sativa,"aka JH, The Jack, Premium Jack, Platinum Jack",4.4,4842,THC 18%,CBG 1%,Energetic,Terpinolene
14,Mimosa,Hybrid,aka Purple Mimosa,4.5,948,THC 20%,CBG 1%,Energetic,Myrcene
15,Sherbert,Hybrid,"aka Sherbet, Sunset Sherbet, Sunset Sherbert",4.6,1563,THC 18%,CBG 1%,Relaxed,Caryophyllene
16,Pineapple Express,Hybrid,NA,4.4,4120,THC 20%,CBG 1%,Energetic,Myrcene
17,Cereal Milk,Hybrid,NA,4.6,317,THC 22%,CBG 1%,Relaxed,Caryophyllene
18,GMO Cookies,Hybrid,"aka Garlic Cookies, GMO Garlic Cookies",4.7,842,THC 28%,CBG 1%,Relaxed,Caryophyllene
19,Durban Poison,Sativa,NA,4.4,3562,THC 20%,CBG 1%,Energetic,Terpinolene
20,White Runtz,Hybrid,NA,4.5,244,THC 17%,CBD 0%,Tingly,Limonene
21,Peanut Butter Breath,Hybrid,"aka Peanut Butter, Peanut Breath",4.6,313,THC 21%,CBG 1%,Relaxed,Limonene
22,Kush Mints,Hybrid,aka Kush Mintz,4.6,229,THC 27%,CBG 1%,Relaxed,Limonene
23,Northern Lights,Indica,aka NL,4.4,3479,THC 18%,CBG 1%,Sleepy,Myrcene
24,Green Crack,Sativa,"aka Green Crush, Mango Crack",4.3,6812,THC 17%,CBG 1%,Energetic,Myrcene
25,Gushers,Hybrid,"aka White Gushers, White Gusherz",4.6,219,THC 24%,CBG 1%,Tingly,Limonene
26,MAC,Hybrid,"aka Miracle Alien Cookies, Miracle Cookies",4.6,437,THC 22%,CBG 1%,Happy,Limonene
27,Slurricane,Indica,NA,4.6,357,THC 20%,CBG 1%,Sleepy,Caryophyllene
28,Sundae Driver,Hybrid,aka Sunday Driver,4.6,448,THC 21%,CBG 1%,Giggly,Limonene
29,Pink Runtz,Hybrid,NA,4.6,203,THC 24%,CBD 0%,Giggly,Caryophyllene
30,Chemdawg,Hybrid,aka Chemdog,4.3,2389,THC 18%,CBD 0%,Euphoric,Caryophyllene
31,Strawberry Cough,Sativa,NA,4.3,2716,THC 19%,CBG 1%,Energetic,Myrcene
32,London Pound Cake,Hybrid,aka Pound Cake,4.6,186,THC 21%,CBG 1%,Sleepy,Caryophyllene
33,Blue Cookies,Hybrid,"aka Blue GSC, Blue Girl Scout Cookies",4.7,701,THC 17%,CBD 0%,Relaxed,Caryophyllene
34,Lemon Cherry Gelato,Hybrid,NA,4.6,221,THC 24%,CBD —,Relaxed,
35,Cheetah Piss,Hybrid,NA,4.5,154,THC 20%,CBG 1%,Aroused,Caryophyllene
36,Super Lemon Haze,Sativa,aka SLH,4.4,2357,THC 19%,CBG 1%,Energetic,Terpinolene
37,Bubba Kush,Indica,"aka BK, Bubba, Bubba OG Kush",4.3,3521,THC 17%,CBD 0%,Sleepy,Caryophyllene
38,Wedding Crasher,Hybrid,aka Wedding Crashers,4.6,291,THC 21%,CBG 1%,Focused,Caryophyllene
39,Animal Mints,Hybrid,NA,4.5,147,THC 27%,CBG 1%,Hungry,Caryophyllene
40,Lemon Haze,Sativa,NA,4.2,2507,THC 19%,CBG 1%,Energetic,Myrcene
41,Cookies and Cream,Hybrid,"aka Cookies n Cream, Cookies & Cream",4.5,691,THC 20%,CBG 2%,Happy,Caryophyllene
42,Forbidden Fruit,Indica,NA,4.6,883,THC 16%,CBD 0%,Sleepy,Myrcene
43,Amnesia Haze,Sativa,NA,4.3,1615,THC 19%,CBG 1%,Energetic,Myrcene
44,AK-47,Hybrid,aka AK,4.1,2945,THC 19%,CBD 0%,Talkative,Myrcene
45,Tropicana Cookies,Sativa,"aka Tropicanna Cookies, Tropicanna Cookies F2, MTN Trop",4.5,355,THC 16%,CBD 0%,Energetic,Caryophyllene
46,Lava Cake,Hybrid,NA,4.5,221,THC 22%,CBG 1%,Relaxed,Caryophyllene
47,SFV OG,Hybrid,"aka San Fernando Valley OG, San Fernando Valley Kush, San Fernando Valley",4.4,906,THC 20%,CBD 0%,Focused,Myrcene
48,Bubble Gum,Hybrid,aka Bubba Gum,4.1,1215,THC 17%,CBG 1%,Happy,Caryophyllene
49,Strawberry Banana,Hybrid,aka Strawnana,4.5,668,THC 21%,CBG 1%,Relaxed,Limonene
50,White Truffle,Hybrid,NA,4.7,116,THC 25%,CBG 1%,Tingly,Limonene
51,Trainwreck,Hybrid,NA,4.2,3099,THC 17%,CBG 1%,Euphoric,Terpinolene
52,Super Silver Haze,Sativa,aka SSH,4.3,2273,THC 20%,CBG 1%,Energetic,Myrcene
53,Grease Monkey,Hybrid,NA,4.6,480,THC 22%,CBG 1%,Sleepy,Caryophyllene
54,Purple Haze,Sativa,NA,4.2,1170,THC 16%,CBD 0%,Energetic,Myrcene
55,Maui Wowie,Sativa,"aka Maui Waui, Mowie Wowie",4.3,1663,THC 19%,CBD 0%,Energetic,Myrcene
56,LA Kush Cake,Hybrid,"aka Los Angeles Kush Cake, LA Kush Cake #11",4.6,138,THC 23%,CBG 1%,Aroused,Limonene
57,Zookies,Hybrid,NA,4.6,203,THC 21%,CBG 1%,Focused,Caryophyllene
58,Grape Ape,Indica,NA,4.3,2136,THC 18%,CBD 0%,Sleepy,Myrcene
59,Jealousy,Hybrid,NA,4.7,48,THC 18%,CBD 0%,Giggly,Caryophyllene
60,Tahoe OG,Hybrid,aka Tahoe OG Kush,4.4,1452,THC 21%,CBG 1%,Sleepy,Myrcene
61,Birthday Cake,Hybrid,"aka Birthday Cake Kush, Birthday Cake #3",4.5,517,THC 20%,CBG 1%,Relaxed,Caryophyllene
62,Banana Kush,Hybrid,NA,4.2,1229,THC 21%,CBD 0%,Talkative,Limonene
63,Alien OG,Hybrid,aka Alien OG Kush,4.4,1134,THC 19%,CBG 1%,Euphoric,Myrcene
64,Ghost Train Haze,Sativa,NA,4.5,1153,THC 18%,CBG 2%,Energetic,Terpinolene
65,Dolato,Indica,"aka Do-Si-Lato, Dosi-Lato",4.6,109,THC 20%,CBD 0%,Relaxed,Limonene
66,Thin Mint,Hybrid,"aka Thin Mint GSC, Thin Mints, Thin Mint Cookies, Thin Mint Girl Scout Cookies",4.6,842,THC 19%,CBD 0%,Uplifted,Caryophyllene
67,Animal Cookies,Hybrid,aka Animal Crackers,4.5,1085,THC 19%,CBG 1%,Relaxed,Caryophyllene
68,FPOG,Hybrid,"aka Fruity Pebbles, Fruity Pebbles OG, Fruity OG",4.4,980,THC 19%,CBD 0%,Giggly,Myrcene
69,King Louis,Indica,"aka King Louis XIII, Louis XIII Kush",4.6,969,THC 20%,CBG 1%,Sleepy,Myrcene
70,Alaskan Thunder Fuck,Sativa,"aka ATF, Alaskan Thunder, Alaskan Thunder F***",4.3,2096,THC 16%,CBD 0%,Energetic,Myrcene
71,Acapulco Gold,Sativa,NA,4.5,721,THC 18%,CBG 1%,Energetic,Myrcene
72,Mandarin Cookies,Hybrid,aka Mandarin Mints,4.5,257,THC 18%,CBD 0%,Uplifted,Limonene
73,Georgia Pie,Hybrid,NA,4.7,99,THC 24%,CBG 1%,Uplifted,Caryophyllene
74,Jungle Cake,Hybrid,NA,4.6,113,THC 19%,CBG 1%,Talkative,Myrcene
75,Blueberry Muffin,Hybrid,aka Blueberry Muffins,4.6,310,THC 20%,CBG 1%,Relaxed,Caryophyllene
76,Ice Cream,Hybrid,"aka Ice Cream Kush, Ice Cream #1, Ice Cream #3",4.2,245,THC 18%,CBG 1%,Hungry,Myrcene
77,Cookies Kush,Indica,"aka Cookie Kush, Girl Scout Cookies Kush, GSC Kush",4.5,330,THC 19%,CBG 1%,Sleepy,Limonene
78,Guava,Sativa,NA,4.5,59,THC 19%,CBG 1%,Uplifted,Caryophyllene
79,Gelato Cake,Hybrid,NA,4.6,108,THC 20%,CBG 1%,Sleepy,Limonene
80,Motorbreath,Hybrid,NA,4.7,259,THC 25%,CBG 1%,Euphoric,Myrcene
81,Tangie,Sativa,NA,4.4,1279,THC 17%,CBG 1%,Energetic,Myrcene
82,Platinum OG,Indica,NA,4.4,969,THC 19%,CBD 0%,Sleepy,Myrcene
83,Platinum Cookies,Hybrid,"aka Platinum Girl Scout Cookies, Platinum GSC, PGSC",4.5,1362,THC 17%,CBD 0%,Relaxed,Caryophyllene
84,Black Diamond,Indica,"aka Black Diamond OG, Black Diamond Kush",4.4,464,THC 17%,CBG 1%,Hungry,Myrcene
85,Horchata,Hybrid,NA,4.7,63,THC 25%,CBG 1%,Relaxed,Caryophyllene
86,Mochi,Hybrid,"aka Gelato 47, Mochi Gelato",4.6,102,THC 10%,CBD 0%,Sleepy,Myrcene
87,Papaya,Indica,NA,4.3,313,THC 17%,CBG 1%,Sleepy,Myrcene
88,Fire OG,Hybrid,aka Fire OG Kush,4.4,1190,THC 20%,CBD 0%,Hungry,Myrcene
89,Mango Kush,Hybrid,NA,4.2,1230,THC 21%,CBG 1%,Giggly,Myrcene
90,Black Cherry Gelato,Hybrid,NA,4.8,32,THC 22%,CBD 0%,Hungry,Myrcene
91,Italian Ice,Hybrid,NA,4.3,134,THC —,CBD —,Relaxed,
92,Gelatti,Hybrid,NA,4.6,71,THC 23%,CBG 1%,Happy,Caryophyllene
93,White Rhino,Indica,NA,4.1,1221,THC 19%,CBG 1%,Sleepy,Myrcene
94,Black Runtz,Hybrid,NA,4.7,67,THC 24%,CBD 0%,Aroused,Limonene
95,Pancakes,Hybrid,NA,4.1,46,THC 27%,CBG 1%,Focused,Caryophyllene
96,Skunk 1,Hybrid,"aka Skunk No. 1, Skunk, Skunk #1",4.1,498,THC 17%,CBG 1%,Hungry,Myrcene
97,Cinderella 99,Hybrid,"aka C99, Cindy 99, Cindy",4.2,1159,THC 18%,CBG 1%,Energetic,Limonene
98,Headband,Hybrid,aka HB,4.2,2642,THC 19%,CBG 1%,Euphoric,Caryophyllene
99,Truffle,Hybrid,"aka Truffles, Trufflez",3.8,29,THC 20%,CBD —,Sleepy,
100,Bacio Gelato,Hybrid,NA,4.8,45,THC —,CBD —,Aroused,
101,G13,Indica,"aka G-13, G Thirteen",4.3,1162,THC 20%,CBG 1%,Sleepy,Myrcene
102,Khalifa Kush,Hybrid,"aka KK, Wiz Khalifa, Wiz Khalifa Kush, Kalifa Kush",4.6,681,THC 21%,CBD 0%,Creative,Limonene
103,Purple Runtz,Hybrid,aka Purple Runts,4.6,57,THC 14%,CBD 0%,Euphoric,Caryophyllene
104,Jet Fuel Gelato,Hybrid,aka Jetlato,4.5,104,THC 22%,CBG 1%,Aroused,Limonene
105,Purple Urkle,Indica,NA,4.3,1283,THC 18%,CBD 0%,Sleepy,Myrcene
106,Wedding Pie,Hybrid,NA,4.7,98,THC 26%,CBG 1%,Sleepy,Limonene
107,Amnesia,Sativa,NA,4.2,779,THC 19%,CBG 2%,Giggly,Terpinolene
108,Haze,Sativa,"aka Original Haze, Haze Brothers",4.1,471,THC 18%,CBD 0%,Energetic,Myrcene
109,Pink Kush,Hybrid,"aka Pink OG, Sedamen",4.5,764,THC 19%,CBG 1%,Sleepy,Myrcene
110,Hindu Kush,Indica,aka Hindi Kush,4.3,1208,THC 19%,CBG 1%,Sleepy,Limonene
111,Watermelon Zkittlez,Indica,aka Watermelon Skittles,4.5,117,THC 25%,CBG 1%,Giggly,Limonene
112,Gorilla Cookies,Hybrid,NA,4.6,284,THC 21%,CBG 1%,Relaxed,Caryophyllene
113,Gumbo,Indica,NA,4.5,72,THC —,CBD —,Sleepy,
114,Grape Pie,Hybrid,NA,4.7,62,THC 22%,CBG 1%,Happy,Limonene
115,9 lb Hammer,Indica,"aka 9 Pound Hammer, Nine Pound Hammer",4.6,1044,THC 20%,CBG 1%,Sleepy,Myrcene
116,Pink Rozay,Indica,NA,4.8,50,THC 20%,CBG 1%,Aroused,Myrcene
117,Afghani,Indica,"aka Afghan, Afghanistan",4.3,678,THC 19%,CBG 1%,Sleepy,Myrcene
118,Orange Cookies,Hybrid,NA,4.6,496,THC 20%,CBG 1%,Happy,Terpinolene
119,Watermelon,Indica,"aka Watermelon Kush, Watermelon OG",4.4,304,THC —,CBD —,Sleepy,
120,LSD,Hybrid,NA,4.3,1149,THC 18%,CBG 1%,Euphoric,Myrcene
121,Triangle Kush,Indica,"aka OG Triangle, Triangle OG",4.6,250,THC 20%,CBG 1%,Relaxed,Myrcene
122,Afghan Kush,Indica,aka Afghani Kush,4.0,1227,THC 15%,CBG 1%,Sleepy,Myrcene
123,Clementine,Sativa,NA,4.4,518,THC 18%,CBG 1%,Energetic,Terpinolene
124,Orange Creamsicle,Hybrid,NA,4.5,212,THC 30%,CBG 1%,Uplifted,Myrcene
125,Banana Punch,Hybrid,NA,4.5,110,THC 18%,CBG 1%,Tingly,Limonene
126,Gelato 45,Hybrid,NA,4.5,27,THC 22%,CBG 1%,Relaxed,Caryophyllene
127,Marshmallow OG,Hybrid,NA,4.6,141,THC 20%,CBG 1%,Relaxed,Limonene
128,Blackberry Kush,Indica,aka BBK,4.2,1981,THC 17%,CBD 0%,Sleepy,Caryophyllene
129,LA Confidential,Indica,"aka Confidential, Confidential OG",4.3,1386,THC 17%,CBG 1%,Sleepy,Pinene
130,Nerds,Hybrid,"aka Nerdz, Blue Nerds, Pink Nerds, Nerds OG, Nerdz OG, Blue Nerdz",4.2,6,THC —,CBD —,Hungry,
131,Lemon Skunk,Hybrid,aka Lemon Skunk OG,4.3,1062,THC 19%,CBG 1%,Energetic,Caryophyllene
132,Superglue,Hybrid,aka Tacky Glue,4.6,420,THC 21%,CBD 0%,Relaxed,Caryophyllene
133,Ghost OG,Hybrid,aka Ghost OG Kush,4.5,643,THC 19%,CBD 0%,Relaxed,Myrcene
134,Master Kush,Indica,"aka High Rise, Grandmaster Kush, Purple SoCal Master Kush",4.3,1791,THC 17%,CBG 1%,Sleepy,Myrcene
135,Banana OG,Hybrid,NA,4.3,573,THC 20%,CBG 1%,Sleepy,Limonene
136,Rainbow Sherbet,Hybrid,NA,4.2,44,THC 18%,CBD 0%,Giggly,Caryophyllene
137,Mac and Cheese,Hybrid,aka Mac N Cheese,4.6,60,THC 23%,CBG 1%,Focused,Myrcene
138,ZaZa,Hybrid,NA,4.3,145,THC —,CBD —,Hungry,
139,OGKB,Hybrid,aka OG Kush Breath,4.4,81,THC 25%,CBG 1%,Sleepy,Terpinolene
140,Lemon Cake,Sativa,NA,4.4,212,THC 17%,CBG 1%,Uplifted,Myrcene
141,Venom OG,Hybrid,"aka Venom, Venom OG Kush",4.4,287,THC 20%,CBG 1%,Sleepy,Myrcene
142,Super Skunk,Indica,NA,4.2,600,THC 16%,CBG 1%,Sleepy,Caryophyllene
143,Silver Haze,Sativa,NA,4.1,775,THC 22%,CBD 0%,Talkative,Myrcene
144,Mazar x Blueberry OG,Hybrid,"aka Skywalker OG, Skywalker OG Kush",4.5,1602,THC 20%,CBG 1%,Sleepy,Myrcene
145,Lemon Kush,Hybrid,aka Cali Lemon Kush,4.1,1236,THC 19%,CBG 1%,Giggly,Myrcene
146,Sour Apple,Hybrid,aka Sour Apple Diesel,4.3,262,THC 17%,CBD 0%,Giggly,Myrcene
147,Zoap,Hybrid,NA,4.6,22,THC —,CBD —,Relaxed,
148,Vanilla Frosting,Hybrid,NA,4.4,76,THC 20%,CBG 1%,Hungry,Myrcene
149,Rainbow Runtz,Indica,aka Rainbow Runts,4.6,28,THC —,CBD —,Hungry,
150,Strawberry Shortcake,Indica,NA,4.6,107,THC 16%,CBG 1%,Relaxed,Caryophyllene
151,Larry OG,Hybrid,"aka Lemon Larry, Sour Larry, Zour Larry",4.2,812,THC 20%,CBD 0%,Hungry,Myrcene
153,Golden Goat,Hybrid,NA,4.5,1434,THC 19%,CBG 1%,Energetic,Terpinolene
154,Alien Cookies,Hybrid,NA,4.6,57,THC 21%,CBG 1%,Aroused,Caryophyllene
155,Moby Dick,Sativa,NA,4.3,658,THC 16%,CBG 1%,Energetic,Terpinolene
156,Granimals,Indica,aka Garanimals,4.5,63,THC 23%,CBG 1%,Tingly,Caryophyllene
157,NYC Diesel,Hybrid,"aka New York Diesel, New York City Diesel, NYC Sour Diesel",4.2,955,THC 20%,CBG 1%,Energetic,Myrcene
158,Limoncello,Hybrid,"aka Lemonchello 28, Lemoncello",4.3,75,THC 17%,CBG 1%,Giggly,Myrcene
159,Modified Grapes,Hybrid,aka Modified Grape,4.4,97,THC 26%,CBD —,Sleepy,
160,Cheese,Hybrid,aka Dinafem Cheese,4.0,1583,THC 18%,CBD 0%,Hungry,Myrcene
161,Blue Zushi,Hybrid,NA,4.6,26,THC 20%,CBD —,Tingly,
162,Critical Kush,Indica,NA,4.4,712,THC 18%,CBG 1%,Sleepy,Myrcene
163,Chocolope,Sativa,aka D-Line,4.3,1372,THC 22%,CBG 3%,Energetic,Terpinolene
164,Kandy Kush,Hybrid,aka Candy Kush,4.3,596,THC 18%,CBD 0%,Hungry,Limonene
165,Sour Tangie,Sativa,aka Sunva,4.6,695,THC 18%,CBD 0%,Energetic,Myrcene
166,Death Star,Indica,aka Deathstar,4.5,1433,THC 19%,CBD 0%,Sleepy,Caryophyllene
167,Donny Burger,Indica,NA,4.6,45,THC 27%,CBG 1%,Aroused,Caryophyllene
168,Pink Cookies,Hybrid,NA,4.5,139,THC 20%,CBG 1%,Tingly,Caryophyllene
169,Strawberry Diesel,Hybrid,NA,4.4,345,THC 19%,CBD 0%,Uplifted,Caryophyllene
170,Blueberry Kush,Indica,aka Blueberry OG Kush,4.2,1101,THC 18%,CBG 1%,Sleepy,Myrcene
171,Key Lime Pie,Hybrid,"aka Key Lime GSC, Key Lime Cookies",4.5,378,THC 20%,CBG 1%,Happy,Caryophyllene
172,Cherry Gelato,Hybrid,NA,4.4,37,THC 14%,CBG 1%,Euphoric,Pinene
173,Tangerine Dream,Hybrid,NA,4.3,1002,THC 20%,CBG 1%,Energetic,Myrcene
174,Pink Lemonade,Hybrid,NA,4.5,185,THC 18%,CBG 1%,Energetic,Ocimene
175,Gruntz,Hybrid,NA,4.6,33,THC —,CBD —,Tingly,
176,Blackberry,Hybrid,NA,4.1,582,THC 17%,CBD 0%,Sleepy,Myrcene
177,White Cherry Gelato,Hybrid,NA,4.5,18,THC —,CBD —,Euphoric,
178,Mango Haze,Sativa,NA,4.5,330,THC 20%,CBD 0%,Energetic,Terpinolene
179,Lemon OG,Hybrid,aka Lemon OG Kush,4.3,540,THC 19%,CBD 0%,Hungry,Caryophyllene
180,Jelly Rancher,Hybrid,aka Hella jelly,4.5,61,THC 21%,CBD 0%,Happy,Caryophyllene
181,Super Sour Diesel,Sativa,"aka Super Diesel, Super Sour",4.4,613,THC 23%,CBD 0%,Energetic,Limonene
182,Mango,Indica,aka Mango OG,4.1,531,THC 17%,CBD 0%,Hungry,Myrcene
183,Fruit Punch,Sativa,NA,4.5,168,THC 18%,CBG 2%,Energetic,Myrcene
184,Lemon Tree,Hybrid,aka Lemon Tree Kush,4.5,139,THC 17%,CBG 1%,Happy,Myrcene
185,Pink Panties,Indica,NA,4.5,58,THC 16%,CBD 0%,Sleepy,Myrcene
186,Black Mamba,Indica,aka Black Mamba #6,4.5,272,THC 20%,CBG 1%,Sleepy,Limonene
187,Purple Gelato,Hybrid,NA,4.6,30,THC —,CBD —,Hungry,
188,Garlic Breath,Hybrid,NA,4.7,87,THC 24%,CBG 1%,Sleepy,Limonene
189,Cherry Runtz,Hybrid,NA,4.6,20,THC 17%,CBG 1%,Aroused,Limonene
190,Larry Bird,Hybrid,aka Larry Bird Kush,4.7,65,THC 17%,CBD —,Uplifted,
191,Blue Diesel,Hybrid,"aka Blue City Diesel, New Blue Diesel",4.3,629,THC 15%,CBD 0%,Uplifted,Myrcene
192,Pineapple Upside Down Cake,Hybrid,NA,4.5,164,THC 24%,CBG 4%,Giggly,Ocimene
193,Grapefruit,Sativa,NA,4.2,597,THC 19%,CBD 0%,Energetic,Myrcene
194,Snowman,Hybrid,aka Snowman OG,4.5,29,THC 23%,CBD 0%,Hungry,Caryophyllene
195,Bubblegum Gelato,Indica,"aka Bubble Gum Gelato, BG Gelato",4.5,31,THC 16%,CBD —,Relaxed,
196,Tropical Runtz,Hybrid,aka Tropical Runts,4.7,31,THC 24%,CBD 0%,Uplifted,Myrcene
197,Obama Kush,Indica,"aka Obama OG, Obama OG Kush",4.4,748,THC 19%,CBD 0%,Relaxed,Caryophyllene
198,Monster Cookies,Indica,NA,4.6,357,THC 19%,CBD 0%,Sleepy,Caryophyllene
199,Lamb's Bread,Sativa,aka Lamb's Breath,4.4,858,THC 19%,CBD 1%,Energetic,Caryophyllene
200,Black Jack,Hybrid,NA,4.4,529,THC 19%,CBG 1%,Energetic,Terpinolene
201,Rainbow Chip,Hybrid,NA,4.5,53,THC 27%,CBG 1%,Uplifted,Limonene
202,The White,Hybrid,NA,4.5,370,THC 21%,CBG 1%,Sleepy,Myrcene
203,Wonka Bars,Hybrid,NA,4.5,54,THC 20%,CBG 1%,Giggly,Myrcene
204,Papaya Punch,Hybrid,NA,4.4,61,THC 23%,CBG 1%,Sleepy,Limonene
205,Jelly Breath,Hybrid,NA,4.5,37,THC 21%,CBG 1%,Tingly,Caryophyllene
206,The Soap,Hybrid,NA,4.6,79,THC 16%,CBD 0%,Focused,Limonene
207,Triangle Mints,Hybrid,NA,4.6,52,THC —,CBD —,Focused,
208,Blue Gelato,Hybrid,aka Blue Gelato #41,4.4,39,THC 15%,CBD 0%,Uplifted,Caryophyllene
209,Thai,Sativa,"aka Thai Stick, Thailand",4.1,154,THC 19%,CBG 1%,Energetic,Caryophyllene
210,Godfather OG,Indica,"aka Godfather, The Don of All OGs",4.5,219,THC 18%,CBD 0%,Sleepy,Myrcene
211,Snoop Dogg OG,Indica,"aka Snoop Dogg OG Kush, Snoop's OG",4.6,160,THC —,CBD —,Hungry,
212,Guava Gelato,Hybrid,NA,4.6,41,THC —,CBD —,Euphoric,
213,Dutch Treat,Hybrid,NA,4.3,1046,THC 19%,CBG 1%,Euphoric,Terpinolene
214,Cali Kush,Hybrid,"aka California Kush, Kali Kush",4.1,256,THC 20%,CBD 0%,Hungry,Myrcene
215,Strawberry Lemonade,Sativa,aka Mike's Strawberry Lemonade,4.3,258,THC 20%,CBD 0%,Energetic,Myrcene
216,Black Cherry OG,Indica,"aka Black Cherry OG Kush, Black Cherry",4.4,123,THC 17%,CBG 1%,Relaxed,Caryophyllene
217,Melonade,Hybrid,NA,4.5,55,THC 21%,CBG 1%,Energetic,Limonene
218,Grape Stomper,Hybrid,aka Sour Grapes,4.3,399,THC 18%,CBG 1%,Tingly,Myrcene
220,Lemon Meringue,Sativa,aka Lemon Meringue Pie,4.6,249,THC 21%,CBG 2%,Energetic,Terpinolene
221,Fatso,Indica,NA,4.6,63,THC 28%,CBG 1%,Sleepy,Limonene
222,Truffle Butter,Indica,aka Truffle Budder,4.4,28,THC 21%,CBD —,Aroused,
223,White Russian,Hybrid,NA,4.3,546,THC 21%,CBG 1%,Energetic,Myrcene
224,Banana Runtz,Hybrid,NA,4.4,63,THC —,CBD —,Aroused,
225,Ice,Hybrid,NA,4.0,252,THC 16%,CBG 1%,Focused,Limonene
226,24k Gold,Hybrid,aka 24k,4.5,325,THC 20%,CBG 1%,Relaxed,Myrcene
227,Layer Cake,Hybrid,NA,4.6,178,THC 25%,CBG 1%,Relaxed,Myrcene
228,Wookies,Hybrid,NA,4.7,123,THC 20%,CBG 1%,Relaxed,Terpinolene
229,Lucky Charms,Hybrid,NA,4.5,223,THC 23%,CBD 0%,Creative,Limonene
230,Cat Piss,Sativa,NA,3.8,321,THC 17%,CBD 0%,Energetic,Myrcene
231,Face Off OG,Indica,"aka Faceoff OG Kush, Face Off, OG Face Off",4.7,164,THC 22%,CBG 1%,Sleepy,Myrcene
232,Strawberry Cheesecake,Indica,NA,4.4,225,THC 16%,CBD 0%,Happy,Limonene
233,Strawberry Kush,Hybrid,NA,4.1,453,THC 19%,CBG 1%,Hungry,Myrcene
234,Sour OG,Hybrid,aka Sour OG Kush,4.3,769,THC 21%,CBD 0%,Talkative,Limonene
235,MK Ultra,Indica,"aka MK Ultra OG, MKU",4.5,785,THC 20%,CBD 0%,Sleepy,Myrcene
236,Mendocino Purps,Hybrid,"aka Mendo Purps, Purple Mendocino",4.3,310,THC —,CBD —,Hungry,
237,Cake Mix,Hybrid,NA,4.5,76,THC 24%,CBG 1%,Tingly,Caryophyllene
238,Gummy Bears,Hybrid,NA,4.0,51,THC 21%,CBG 1%,Tingly,Myrcene
239,Lemon Pound Cake,Hybrid,NA,4.6,36,THC 21%,CBG 1%,Talkative,Caryophyllene
240,Strawberry,Sativa,NA,4.2,197,THC 17%,CBG 1%,Energetic,Myrcene
241,Waffle Cone,Hybrid,NA,4.9,31,THC —,CBD —,Tingly,
242,California Orange,Hybrid,"aka Cali Orange, Cali-O, Cali Orange Bud, COB, Californian Orange",4.3,362,THC 12%,CBD 0%,Energetic,Myrcene
243,Banana Cream OG,Hybrid,aka Banana Cream,4.5,45,THC —,CBD —,Relaxed,
244,Orange Soda,Hybrid,NA,4.5,40,THC 26%,CBD —,Uplifted,
245,Diamond OG,Indica,NA,4.5,423,THC 17%,CBD 0%,Sleepy,Pinene
246,Sugar Cookie,Hybrid,NA,4.3,241,THC 22%,CBG 1%,Sleepy,Caryophyllene
247,Orange Kush Cake,Hybrid,NA,4.5,69,THC 21%,CBG 1%,Tingly,Caryophyllene
248,Black Truffle,Hybrid,NA,4.5,23,THC 18%,CBG 1%,Talkative,Caryophyllene
249,Scooby Snacks,Hybrid,NA,4.6,237,THC 23%,CBD 0%,Relaxed,Limonene
250,Sunshine,Sativa,aka Sunshine OG,4.7,122,THC 24%,CBG 1%,Uplifted,Myrcene
251,Alien Rock Candy,Hybrid,NA,4.6,269,THC 24%,CBG 1%,Relaxed,Myrcene
252,Cheesecake,Indica,NA,4.7,34,THC 22%,CBG 1%,Sleepy,Limonene
253,Honey Bun,Hybrid,NA,4.5,36,THC 23%,CBG 1%,Hungry,Limonene
254,Black Domina,Indica,NA,4.1,339,THC 20%,CBG 1%,Sleepy,Myrcene
255,Island Sweet Skunk,Sativa,"aka Sweet Island Skunk, ISS",4.2,918,THC 18%,CBG 1%,Energetic,Myrcene
