Strain,Type,Rating,Effects,Flavor,Description,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
La-Confidential,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Sweet,Earthy,Pine","LA Confidential is known as a very popular and successful strain. Its buds have a frosty, lime green appearance and little purple leaves. The taste is smooth and piney, with a classic skunky aroma that does not linger for too long. Overall, LA Confidential is a well-rounded strain that delivers a fast-approaching sensation that is both psychedelic and super calming on the mind and body. For newer patients seeking relief, LA Confidential can both lull you to sleep and treat acute pain. ",,,,,,0.0,0.029,0.188,0.0,0.0,0.112,0.0,0.102,0.033,0.058,0.256,0.468,0.21,0.0,1.522,0.256,,0.269,0.773,0.0,0.0,,2.69,0.0,71.78,0.0,0.0,0.16,0.0,0.0,0.0,1.73,0.25,0.0,
Lsd,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Creative","Earthy,Pungent,Citrus","The LSD strain was bred by Barneys Farm, with a lineage from Mazar-I-Sharif and Skunk #1. It is a disease-resistant plant that does well in most growing conditions. The buds form in curved triangles, yielding approximately 600 grams per square meter. Flowering time is approximately 8-9 weeks. This marijuana strain is popular for delivering a vivid and psychedelic experience with a powerful body buzz and cerebral high. The THC content has been measured up to 24% with a CBD of 1.3%. ",,,,,,0.0,0.021,0.125,0.0,0.0,0.0,0.0,0.143,0.0,0.034,0.308,0.696,0.132,0.0,2.373,0.322,,0.169,0.596,0.0,0.0,,7.93,0.0,60.18,0.0,0.06,0.19,0.0,0.0,0.0,2.08,0.24,0.25,
Larry-Og,hybrid,4.3,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Lemon,Pine,Citrus","Larry OG, also called Lemon Larry, is yet another member of the famous ocean-grown family. Originally created in Orange County, this indica is a cross between OG Kush and SFV OG. Larry OG produces a potent yet easy body buzz that will allow you to relax while getting things done. The effects are happy but not overwhelming. Like other members of the OG family, this strain has a very clean and piney aroma. The nugs tend to be dense and feature distinct burnt orange hairs that are longer than average.",,,,,,0.0,0.022,0.008,0.0,0.034,0.0,0.0,0.0,0.0,0.036,0.018,0.14,0.07,0.0,0.391,0.093,,0.107,0.501,0.0,0.0,,0.43,0.0,21.59,0.02,0.0,0.04,0.0,0.0,0.0,0.49,0.12,0.0,
Laughing-Buddha,sativa,4.4,"Happy,Euphoric,Uplifted,Energetic,Giggly","Tropical,Sweet,Spicy/Herbal","Laughing Buddha is an award-winning sativa (2003 High Times Cannabis Cup) from Barney's Farm that grows fast and tall. An earthy cross between Thai and Jamaican strains with a sweet, fruity smell that is broken up by hints of spice and provides a rich pungent smoke that will leave consumers feeling happy, upbeat, and will leave them giggling even when battling depression. The oversized colas often need pruning and extra support, but the added work pays off come harvest time when full, frosty buds cover almost the entire plant.",,,,,,0.0,0.023,0.0,0.0,0.006,0.0,0.0,0.057,0.0,0.016,0.0,0.136,0.055,0.0,0.46,0.319,,0.09,0.573,0.0,0.0,,0.76,0.0,26.38,0.0,0.0,0.07,0.0,0.0,0.0,0.68,0.11,0.0,
Lavender,indica,4.1,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Lavender,Flowery,Sweet","Built from strains around the world, Lavender by Soma Seeds has its origins from Super Skunk, Big Skunk Korean and Afghani Hawaiian. This strain, sometimes referred to as Lavender Kush, has dense buds that give off a floral and spicy aroma. It has a dark purple coloration at the ends of its leaves.",,,,,,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.11,0.04,0.0,0.0,0.021,0.3,0.0,0.084,1.274,,0.082,0.042,0.0,0.0,,0.67,0.0,24.03,0.0,0.0,0.05,0.0,0.0,0.0,0.4,0.08,0.0,
Legend-Og,indica,4.6,"Relaxed,Sleepy,Happy,Creative,Focused","Pungent,Earthy,Pine","Legend OG is a presumed OG Kush phenotype that offers a fresh take on a classic. Known for tart, floral, and pungent terpenes, Legend OG stays true to its Kush background. Heavily sedating in large doses, Legend OG works hard to relax the consumer by elevating the mind while soothing aches and pains throughout the body. Its sleepy qualities also make it a solid choice before bedtime, but monitor your dosage, as high-THC varieties can overstimulate some minds.",,,,,,0.0,0.011,0.01,0.0,0.008,0.0,0.0,0.116,0.0,0.013,0.0,0.124,0.037,0.0,0.4,0.568,,0.078,0.333,0.0,0.0,,0.93,0.0,20.43,0.0,0.0,0.01,0.0,0.0,0.0,0.75,0.12,0.0,
Lemon-Cake,sativa,4.3,"Relaxed,Uplifted,Happy,Energetic,Euphoric","Lemon,Cheese,Sweet","Lemon Cake by Heavyweight Seeds is a potent sativa-dominant strain with sweet and musky aromas. Also known as Lemon Cheesecake, Lemon Cake is the cross of Lemon Skunk and a “dangerously powerful Cheese,” according to HS. With a nine to ten week flowering time, squat morphology, and abundant yield, Lemon Cake is kind to growers, especially those outdoors. This strain emits a pungent citrus aroma with a musky Cheese undertone. Heavyweight Seeds recommends consuming this strain to combat stress, loss of appetite, and minor physical discomfort.",,,,,,0.019,0.004,0.031,0.018,0.001,0.005,0.004,0.04,0.004,0.367,0.133,0.177,0.049,0.01,0.467,0.154,,0.075,0.155,0.008,0.002,,0.43,0.0,14.72,0.0,0.0,0.04,0.0,0.0,0.0,0.48,0.02,0.0,
Lemon-Diesel,hybrid,4.2,"Euphoric,Happy,Relaxed,Creative,Energetic","Lemon,Diesel,Citrus","Bred by Green Lantern Seeds, Lemon Diesel is the child of California Sour and Lost Coast OG. This cannabis strain grows tall with dense buds, and usually fills in most during the last couple weeks of growth. Its leaves are long and broad with purple-gray color during maturity. Flowering time is generally 9-10 weeks with a THC content up to 14% and CBD of 0.23%. The buds have been described as smelling fruity and sweet, with a hint of a skunk. The smell and flavor have been likened to citrus and pepper, with effects that can 'sneak up' on its consumer. Lemon Diesel was in the Top Ten at the Emerald Cup in 2010. ",,,,,,0.0,0.0,0.076,0.0,0.0,0.306,0.0,0.061,0.0,0.0,0.711,0.441,0.0,0.0,1.507,0.045,,0.022,0.203,0.0,0.0,,4.49,0.03,74.15,0.0,0.0,0.15,0.0,0.0,0.0,2.31,0.25,0.09,
Lemon-Drop,hybrid,4.1,"Happy,Euphoric,Focused,Uplifted,Relaxed","Lemon,Citrus,Pine","Lemon Drop is a mellow, fluffy bud that provides a pleasant, giggly sensation. This strain tends to provide a more euphoric, focused experience, though indica-dominant variations exist and produce a stronger body feeling that is relaxing yet not overpowering. Fittingly, Lemon Drop has a lemony, clean taste that is reminiscent of the candy of the same name.",,,,,,0.0,0.0,0.097,0.0,0.016,0.227,0.0,0.086,0.0,0.0,0.272,0.11,0.0,0.0,0.273,0.0,,0.0,0.0,0.0,0.0,,4.41,0.0,74.11,0.0,0.0,0.27,0.0,0.0,0.0,4.3,0.52,0.1,
Lemon-Fire,hybrid,4.7,"Happy,Uplifted,Energetic,Euphoric,Focused","Citrus,Lemon,Earthy",Lemon Fire is a hybrid that won Best U.S. Concentrate in the 2014 Washington Cannabis Cup by Mr. B Extracts. ,,,,,,0.0,0.005,0.002,0.0,0.0,0.0,0.0,0.117,0.0,0.005,0.078,0.085,0.023,0.0,0.258,0.451,,0.046,0.23,0.0,0.0,,0.59,0.0,20.96,0.0,0.0,0.05,0.0,0.0,0.0,0.23,0.05,0.0,
