Strain,Type,Rating,Effects,Flavor,Description,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
24K-Gold,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Citrus,Earthy,Orange","Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users! ",,,,,,0.0,0.011,0.003,0.0,0.001,0.0,0.0,0.075,0.001,0.007,0.0,0.074,0.045,0.0,0.192,1.583,,0.091,0.493,0.0,0.0,,0.43,0.0,24.35,0.0,0.0,0.09,0.0,0.0,0.0,0.5,0.18,0.0,
3-Kings,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Sweet,Pungent","The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.125,0.253,0.023,0.0,0.637,0.19,,0.047,0.339,0.0,0.0,,1.16,0.0,20.52,0.0,0.0,0.03,0.0,0.0,0.0,0.42,0.07,0.0,
3X-Crazy,indica,4.4,"Relaxed,Tingly,Happy,Euphoric,Uplifted","Earthy,Grape,Sweet","Also known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. The relaxing effects induced by 3X Crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia. ",,,,,,0.0,0.003,0.004,0.0,0.002,0.0,0.0,0.096,0.0,0.0,0.007,0.069,0.012,0.0,0.201,0.57,,0.027,0.123,0.0,0.0,,0.77,0.0,13.62,0.0,0.0,0.05,0.0,0.0,0.0,0.17,0.05,0.0,
501St-Og,hybrid,4.5,"Relaxed,Euphoric,Sleepy,Happy,Talkative","Earthy,Pine,Skunk","501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.",,,,,,0.0,0.005,0.0,0.0,0.001,0.0,0.0,0.094,0.0,0.0,0.029,0.037,0.031,0.0,0.133,0.427,,0.055,0.33,0.0,0.0,,0.4,0.01,22.18,0.02,0.0,0.08,0.0,0.0,0.02,0.71,0.08,0.0,
A-Dub,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Diesel,Pepper,Earthy","Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.",,,,,,0.0,0.01,0.01,0.0,0.006,0.0,0.0,0.068,0.0,0.01,0.16,0.281,0.035,0.0,0.875,0.616,,0.07,0.5,0.0,0.0,,1.86,0.0,18.61,0.0,0.0,0.05,0.0,0.0,0.0,0.23,0.06,0.03,
Acdc,hybrid,4.5,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Pine,Woody","ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces no psychoactive effects. Tests have put ACDC’s CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication.",,,,,,0.0,0.003,0.004,0.0,0.0,0.085,0.0,0.035,0.0,0.0,0.133,0.029,0.185,0.0,0.099,1.041,,0.09,0.103,0.0,0.0,,0.0,0.0,0.78,0.0,0.0,17.84,0.29,0.0,0.05,0.46,0.06,0.0,
Ak-47,hybrid,4.2,"Happy,Relaxed,Uplifted,Euphoric,Energetic","Earthy,Pungent,Woody","Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. Created in 1992 by Serious Seeds, AK-47 has won numerous Cannabis Cup awards around the world for its soaring THC content. For those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. AK-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of October.",,,,,,0.0,0.014,0.012,0.0,0.0,0.0,0.0,0.056,0.052,0.051,0.024,0.097,0.387,0.0,0.221,0.722,,0.14,0.229,0.0,0.0,,,,,,,,,,,,,,
Afghan-Diesel,hybrid,3.7,"Euphoric,Relaxed,Uplifted,Happy,Creative","Earthy,Diesel,Chemical",Afghan Diesel is a hybrid strain with an aroma similar to a grapefruit and other citrus fruit. The taste has been described as light and sweet. This strain will have a more cerebral effect rather than body. The plant is characterized as having dark green leaves with purple colored buds. ,,,,,,0.0,0.06,0.084,0.0,0.0,0.0,0.0,1.045,0.031,0.075,0.844,1.009,0.304,0.0,3.012,8.284,,0.503,3.484,0.0,0.0,,19.91,0.0,32.98,0.17,0.07,0.28,0.0,0.0,0.0,1.28,0.74,0.29,
Afghan-Haze,hybrid,4.3,"Sleepy,Relaxed,Giggly,Happy,Creative","Earthy,Flowery,Tea","Afghan Haze is a sativa-dominant hybrid that combines a resinous Afghani indica with a sweet-smelling Haze sativa. Created by former Sensi breeder Nevil Schoenmaker and Shantibaba of Mr. Nice Seeds, Afghan Haze balances energizing cerebral invigoration with soothing full-body effects. Its clear-headed relief allows patients to treat pain, depression, and appetite loss during the day, and heavier doses can help ease the mind and body into peaceful sleep. Afghan Haze may have an excruciatingly long indoor flowering time of 10 weeks, but the large harvests of potent, crystal-covered buds are worth waiting for. ",,,,,,0.0,0.022,0.01,0.0,0.0,0.0,0.0,0.053,0.0,0.015,0.036,0.105,0.065,0.0,0.253,0.162,,0.11,0.777,0.0,0.0,,0.29,0.01,24.8,0.02,0.0,0.09,0.0,0.0,0.0,1.29,0.13,0.03,
Afghani,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Sweet,Pine","Afghani is a heavy indica strain named after its geographic origin, where the earliest varieties of cannabis are believed to have grown. Breeders worldwide have come to treasure Afghani for its heavy resin production which is passed on genetically. With a sweet, earthy aroma, Afghani delivers a deep, sedating relaxation and euphoria. Patients most commonly turn to this potent indica to treat insomnia, pain, and stress disorders.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.054,0.0,0.0,0.165,0.179,0.0,0.375,0.535,,0.101,0.239,0.0,0.0,,2.18,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.08,0.03,
Afgoo,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Sweet,Pine,Woody","Afgoo, also known as Afgooey, is a potent indica strain that is believed to descend from an Afghani indica and Maui Haze. Its sativa parent may lend Afgoo some uplifting, creative qualities, but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing, sleepy effects alongside its earthy pine flavor. Growers hoping to cultivate Afgoo may have a better chance of success indoors, but this indica can also thrive in Mediterranean climates outdoors.",,,,,,0.0,0.0,0.0,0.0,0.001,0.036,0.0,0.044,0.186,0.004,0.015,0.024,0.063,0.0,0.064,1.176,,0.029,0.013,0.0,0.0,,0.49,0.0,20.61,0.0,0.0,0.05,0.0,0.0,0.0,0.65,0.07,0.0,
Afternoon-Delight,hybrid,4.8,"Talkative,Relaxed,Uplifted,Tingly,Creative","Pungent,Citrus,Tropical","Afternoon Delight, created by Colorado Seed Inc., is a difficult strain to track down. Noted for its small, dense nuggets and an aroma of pine and pungent terpenes, Afternoon Delight is described as an indica-dominant hybrid with a hazy aura that engulfs the mind and body. But indulge with caution, as this hybrid has also been known for its potency. ",,,,,,0.042,0.006,0.0,0.0,0.0,0.056,0.0,0.072,0.0,0.409,0.0,0.035,0.056,0.039,0.055,0.158,,0.072,0.13,0.0,0.0,,1.24,0.0,17.11,0.0,0.0,0.11,0.0,0.0,0.0,0.15,0.05,0.0,
Alien-Hallucination,hybrid,4.1,"Happy,Relaxed,Giggly,Aroused,Hungry","Sweet,Earthy,Diesel","Alien Hallucination is a hybrid cannabis strain that is believed to be a cross between the sedating Tahoe Alien and LSD, a classic Amsterdam hybrid known for its trippy head buzz. Bred by Alien Genetics, this strain will abduct the mind while your body remains anchored in deep physical relaxation.",,,,,,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.055,0.108,0.0,0.03,0.059,0.486,0.0,0.241,0.513,,0.131,0.114,0.0,0.0,,0.52,0.0,22.57,0.01,0.0,0.05,0.0,0.0,0.0,1.08,0.05,0.0,
Alien-Og,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Earthy,Lemon,Citrus","First available as a clone in California’s Bay Area and now in seed form from Cali Connection, Alien OG is a cross of Tahoe OG and Alien Kush. One of the most potent strains available today, this indica-dominant hybrid has tested as high as 28% THC. Alien OG has the typical lemon-pine “OG” smell and flavor, and an intense high that combines heavy indica body effects and a psychedelic cerebral buzz. Beginners and novices, be sure to take it slow with this heavy-hitter.",,,,,,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.117,0.046,0.0,0.346,0.455,,0.089,0.362,0.0,0.0,,0.91,0.0,22.02,0.0,0.0,0.05,0.0,0.0,0.0,0.59,0.12,0.0,
Allen-Wrench,sativa,4.3,"Happy,Uplifted,Focused,Energetic,Hungry","Citrus,Earthy,Pungent","A popular strain for sativa-lovers, Allen Wrench presents the best qualities of its parents, Trainwreck and NYC Diesel with crisp flavors of sour fruit. Its aroma has been characterized as sour and flowery, leaving a lingering scent of fruit. Allen Wrench is known to provide users with a long-lasting cerebral high and fill an entire room with its strong essence. The buds have a dark-green color and dark foliage with orange pistils growing out. Allen Wrench also has a 10-11 week flowering time and medium to medium-high THC content.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.067,0.101,0.0,0.194,1.293,,0.069,0.135,0.0,0.0,,75.45,0.57,0.2,0.53,3.31,0.06,0.3,0.0,0.0,0.0,2.34,0.1,
Alpha-Blue,sativa,4.5,"Energetic,Happy,Euphoric,Relaxed,Talkative","Earthy,Blueberry,Sweet","Alpha Blue, also known as Dream Diesel (or DD), is a high-flying sativa that combines Blue Dream and NYC Diesel. In 2011 this compelling blend claimed two 2nd place prizes for a sativa at the High Times’ Medical Cup in Denver and San Francisco. Its buds are glazed with sugary trichomes and take on hues of deep red and violet. The aroma is a combination of tart blueberry and sour candy that create a pungent mixture of earthy berry and Haze upon exhale. The sweet fragrance of Alpha Blue brings with it uplifting effects that produce a calming, relaxed mood without putting you to sleep. The cerebral and happy buzz is a great tool when coping with stress and anxiety.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.0,0.077,0.111,4.207,0.0,0.385,1.746,,1.86,0.682,0.0,0.0,,80.58,0.0,0.0,0.47,0.5,0.0,0.18,0.0,0.0,0.0,1.77,1.02,
Ambrosia,hybrid,4.4,"Uplifted,Euphoric,Relaxed,Creative,Focused","Flowery,Lavender,Earthy","Stemming from her parents, God Bud and Burmese, the Ambrosia strain is a high that will hit you almost instantaneously and will be felt throughout your body. Her mother, Burmese is a sativa from the Mighty Mite Seed Company and was voted #1 People's Choice at the Cannabis Culture Toker's Bowl in 2002. For dad, God Bud from Jordan of the Islands, is a mostly indica plant, popular for it's tropical sweet flavor. Ambrosia produces a large amount of dense and sticky buds with yellow leaves and orange hairs. ",,,,,,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.469,0.619,0.0,0.096,0.148,0.0,0.201,0.093,,0.105,0.138,0.0,0.0,,2.19,0.0,16.33,0.0,0.0,,0.0,0.0,0.0,4.31,0.16,0.01,
Animal-Cookies,hybrid,4.5,"Relaxed,Happy,Euphoric,Creative,Uplifted","Earthy,Sweet,Pungent","Animal Cookies is the child of the legendary hybrid marijuana strains Girl Scout Cookies and Fire OG. This clone-only strain flowers in 9-10 weeks, and grows into dense, frosty green buds tipped with purple. True to its name, Animal Cookies has a sweet, sour aroma with heavy full-body effects that will impress any veteran consumer. This potent medicine might be overkill for mild symptoms, but its ability to obliterate severe pain and insomnia is unprecedented. ",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.034,0.329,0.016,0.0,0.89,0.226,,0.031,0.198,0.0,0.0,,1.25,0.0,24.15,0.0,0.0,0.06,0.0,0.0,0.0,2.09,0.07,0.01,
Appalachia,hybrid,4.8,"Relaxed,Euphoric,Happy,Creative,Giggly","Pungent,Skunk,Earthy","Appalachia is a hybrid cross between Green Crack and Tres Dawg bred by High & Lonesome Seeds. A layer of white, cloudy trichomes gives the buds a sage green color with darker leaves and fiery hairs peeking out from underneath. With an aroma of earthy pine and subtle fruit, Appalachia delivers a dreamy and yet functional cerebral buzz paired with relaxing full-body effects. Sensory perception and appetite are sharpened while pain and other symptoms dull, making Appalachia a coveted strain among medical patients and recreational consumers alike.",,,,,,0.0,0.006,0.01,0.0,0.002,0.017,0.0,0.123,0.001,0.005,0.086,0.233,0.024,0.0,0.773,0.173,,0.041,0.272,0.0,0.0,,2.23,0.0,21.24,0.0,0.0,0.1,0.0,0.0,0.0,0.65,0.06,0.05,
Banana-Kush,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Sweet,Tropical,Tree,Fruit","This legendary West Coast strain crosses Ghost OG and Skunk Haze to create an indica-dominant hybrid that tastes and smells like a bushel of fresh bananas. Although it leans towards an indica genetically, the effects are balanced by the Haze’s mellow sativa buzz that provides a relaxed sense of euphoria. A great choice when dealing with stress or depression, Banana Kush also helps stimulate your creative juices and can help you remain talkative in social settings.",,,,,,0.0,0.043,0.064,0.0,0.003,0.0,0.0,0.123,0.071,0.038,0.0,0.473,0.397,0.0,1.284,1.004,,0.482,2.211,0.0,0.0,,80.65,0.0,0.0,0.95,0.72,0.0,0.21,0.0,0.0,0.0,2.29,2.65,
Banana-Og,hybrid,4.4,"Relaxed,Happy,Hungry,Euphoric,Sleepy","Tropical,Earthy,Sweet","Banana OG is an indica-dominant cross between OG Kush and Banana. With a smell and flavor of overripe bananas, this hybrid definitely earns its name. Banana OG has tested at over 25% THC and has a reputation as a “creeper,” leaving those who over-imbibe in a near comatose state before intense hunger and sleepiness sets in. Patients treating muscular pain, loss of appetite, and insomnia may benefit from Banana OG.",,,,,,0.0,0.015,0.079,0.0,0.0,0.0,0.0,0.13,0.0,0.012,0.003,0.132,0.042,0.0,0.431,0.043,,0.077,0.216,0.0,0.0,,4.87,0.13,68.88,0.06,0.0,0.25,0.0,0.03,0.0,0.48,0.28,0.22,
Berry-White,indica,4.4,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Berry,Sweet,Blueberry","Berry White is a hybrid strain that is the offspring of parents of near-celebrity status in the cannabis world: Blueberry and White Widow. Berry is famous in its own right for its even, balanced effects that offer relaxation from stress and anxiety along with a sense of euphoria. This strain is perfect for inspiring an upbeat mood and may lead to conversation and creative pursuits. This plant’s flowers have a light sour berry and pine smell and a fresh taste similar to their scent. They generally have a strong blue coloring contrasted by orange hairs.",,,,,,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.204,0.037,0.0,0.58,0.488,,0.054,0.438,0.0,0.0,,73.62,0.56,0.2,0.51,3.28,0.07,0.47,0.0,0.0,0.0,2.32,0.08,
Black-Domina,indica,4.2,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Pepper,Pine,Woody","Working with four prime examples of Cannabis Afghanica led Sensi Seeds to blend the world's finest indica genetics into a rapid-flowering, crystal-coated hybrid: Black Domina. Combining desirable features from the Northern Lights, Ortega, Hash Plant, and Afghani SA has made this strain equally suited to the needs of commercial growers, connoisseurs, and first-time cultivators. Black Domina delivers a spicy pepper aroma alongside overwhelming relaxation and sleepiness, making this strain ideal for late night use.",,,,,,0.0,0.01,0.012,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.045,0.155,0.0,0.143,0.464,,0.087,0.085,0.0,0.0,,0.36,0.0,21.3,0.0,0.0,0.05,0.0,0.0,0.0,0.92,0.1,0.0,
Black-Haze,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Focused","Earthy,Pine,Flowery","Black Haze is a sativa-dominant hybrid that blends Colombian Black, Colombian Gold, and Purple Haze. It is known for its deep purple buds that are so dark they appear almost black. Black Haze has an earthy flavor profile, highlighted by woody notes and complemented with sweet hints of berries and cherries. The effects of Black Haze are relaxing with an elevated mood perfect for unwinding and won’t stop you from staying active.",,,,,,0.0,0.015,0.003,0.0,0.0,0.0,0.0,0.021,0.045,0.005,0.018,0.07,0.075,0.0,0.27,0.091,,0.098,0.621,0.0,0.0,,0.32,0.0,20.47,0.0,0.0,0.05,0.0,0.0,0.0,0.25,0.09,0.0,
Black-Jack,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Talkative","Earthy,Sweet,Pine","Black Jack is a marijuana strain that produces hard buds with huge, grape-like calyxes that are completely encrusted with THC. The taste is heavy and flavorful and the strain produces exceptionally long-lasting effects. Because of its high THC levels, Black Jack is popular among medical marijuana patients.",,,,,,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.082,0.0,0.034,0.042,0.114,0.036,0.0,0.317,0.201,,0.064,0.295,0.0,0.0,,0.31,0.0,18.18,0.01,0.0,0.05,0.0,0.0,0.0,1.12,0.04,0.01,
Black-Magic-Kush,indica,4.2,"Happy,Relaxed,Sleepy,Hungry,Talkative","Earthy,Berry,Woody","Black Magic Kush (also known simply as Black Magic) is an indica-dominant strain with mysterious and arcane genetics. With jade green foliage and bright orange pistils, Black Magic Kush looks nearly as good as it tastes. Exhibiting a terpene profile soaked in sweetness, berry, and herbaceous overtones, Black Magic Kush delivers a pleasurable variety of flavors, aromas, and effects that help nullify stress and encourage rest. Utilize this strain at the end of the day to make the most of its sleep-inducing qualities.     ",,,,,,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.075,0.0,0.0,0.013,0.017,0.033,0.0,0.072,0.444,,0.058,0.234,0.0,0.0,,0.27,0.0,19.52,0.0,0.0,0.09,0.0,0.0,0.0,0.38,0.05,0.0,
Black-Widow,hybrid,4.1,"Happy,Relaxed,Euphoric,Sleepy,Uplifted","Earthy,Sweet,Pungent","Originally created by legendary breeder Shantibaba when he was co-owner of Green House Seeds, Black Widow was then known as White Widow. When Shantibaba left GHS and found Mr. Nice Seeds, he took the original Brazilian sativa mother and South Indian indica-dominant hybrid father with him to recreate his world renowned White Widow seeds. Because GHS and others were selling seeds with the name White Widow, he changed the name to Black Widow to create a distinction between them. Black Widow is now considered by many to be the only “true” White Widow available in seed form, as Mr. Nice is the lone seed breeder to possess the original parental genetics.",,,,,,0.0,0.011,0.012,0.004,0.0,0.051,0.0,0.108,0.009,0.004,0.012,0.113,0.069,0.0,0.323,0.232,,0.086,0.494,0.0,0.0,,0.84,0.0,20.97,0.0,0.0,0.07,0.0,0.0,0.0,0.44,0.09,0.0,
Blackberry-Cream,indica,4.8,"Relaxed,Happy,Uplifted,Sleepy,Euphoric","Berry,Sweet,Vanilla","Blackberry Cream from Exotic Genetix combines the sweet berry terpenes of Blackberry Kush with the smooth creamy notes of Cookies and Cream. This 70% indica hybrid produces THC levels up to 25%, above average yields, and is an excellent choice for hash making.",,,,,,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.042,0.025,0.003,0.0,0.04,0.284,0.0,0.149,0.34,,0.088,0.121,0.0,0.0,,0.91,0.0,12.25,0.0,0.0,0.04,0.0,0.0,0.0,0.3,0.02,0.0,
Blackberry-Kush,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Berry,Sweet,Earthy","This mostly indica strain is a mix of Afghani and Blackberry strains and has beautiful dark purple buds with orange hairs. Plants will flower at 7-8 weeks and are not particularly high yielders, but the dense, hard nugs have crystals throughout. Blackberry Kush tends to have a hashy, jet fuel smell and taste that is balanced by sweet berries. Blackberry Kush is often recommended for the treatment of pain thanks to its strong indica body effects. ",,,,,,0.0,0.0,0.073,0.0,0.003,0.014,0.0,0.025,0.0,0.0,0.163,0.04,0.0,0.0,0.055,0.0,,0.0,0.0,0.0,0.0,,3.72,0.23,79.22,0.05,0.12,0.17,0.01,0.0,0.03,1.21,0.26,0.0,
Blackwater,indica,4.6,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Berry,Grape","Blackwater is an indica strain typically bred from Mendo Purps and San Fernando Valley OG Kush. Its round, compact buds take on a deep purple color and a sweet grape aroma that blends with subtle undertones of lemon and pine. What begins as a mellow and euphoric cerebral experience melts down to the rest of the body in a head-to-toe euphoric calm that relieves stress and anxiety. Patients have also reported its success in treating pain, appetite loss, and multiple sclerosis. This strain is recommended for late-night consumption as it can cause mental cloudiness and detract from productivity. Blackwater has a flowering time of 8 to 10 weeks and produces moderate yields in indoor, outdoor, and greenhouse gardens. The 2014 Los Angeles Cannabis Cup awarded Blackwater 3rd place in the indica category.",,,,,,0.0,0.004,0.0,0.0,0.0,0.042,0.0,0.015,0.03,0.0,0.02,0.057,0.206,0.0,0.123,0.855,,0.093,0.052,0.0,0.0,,1.76,0.0,16.17,0.0,0.0,0.05,0.0,0.0,0.0,0.16,0.02,0.05,
Blucifer,sativa,4.3,"Happy,Uplifted,Relaxed,Talkative,Focused","Blueberry,Spicy/Herbal,Berry","Created in 2013 by Terraform Genetics who crossed Conspiracy Kush and Blue Dream, Blucifer is a blue-ish purple sativa strain that radiates with the smell of blueberries and cream with a spicy finish. These frosty buds are meant to leave you feeling productive and motivated, making it a perfect choice for inspiring that long-overdue nature walk. Blucifer works well in indoor gardens with minimal direct sunlight, and it should finish flowering in 55 to 60 days.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.381,0.0,0.119,0.028,0.0,0.338,0.191,,0.047,0.063,0.0,0.0,,1.11,0.0,21.7,0.0,0.0,0.02,0.0,0.0,0.0,0.3,0.15,0.0,
Blue-Cheese,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Blue,Cheese,Cheese,Blueberry","Blue Cheese is an indica cross created by crossing a Blueberry male with an original U.K. Cheese (a Skunk #1 phenotype) female. The sweet and savory smells of berry and blue cheese combine to create a creamy, unique flavor reminiscent of the original Cheese. The heavy indica effects will help you feel relaxed at the end of the day and can provide relief for muscle spasms, pain, and stress.",,,,,,0.0,0.004,0.003,0.0,0.0,0.0,0.0,0.021,0.032,0.0,0.018,0.019,0.067,0.0,0.065,0.568,,0.045,0.075,0.0,0.0,,0.33,0.02,17.65,0.01,0.0,0.04,0.0,0.01,0.0,0.31,0.06,0.0,
Blue-Cookies,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Creative","Berry,Blueberry,Sweet","Blue Cookies is an indica-dominant hybrid cross between two celebrity strains, Girl Scout Cookies and Blueberry. As the child of these heavyweight champion strains, Blue Cookies delivers a crushing blow of euphoria straight to the head, where it swiftly sinks down to relax the entire body. Sweet berry flavors fuse with earthy cherry notes in a flavor profile as enticing as the bud’s thick coat of frosty resin that stretches over twisting hues of green and purple. Novice consumers should approach Blue Cookies with modesty, but this strain’s potency is perfect for hard-to-impress veterans. You may also come across another variation of Blue Cookies, a select Girl Scout Cookies phenotype that lacks the Blueberry genetics.",,,,,,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.166,0.05,0.0,0.451,0.341,,0.083,0.545,0.0,0.0,,0.54,0.0,27.97,0.0,0.0,0.07,0.0,0.0,0.0,1.5,0.07,0.01,
Blue-Crack,hybrid,4.2,"Happy,Relaxed,Uplifted,Energetic,Focused","Blueberry,Sweet,Berry","This sativa-dominant hybrid takes after its iconic parents, 50/50 hybrid Blue Dream and classic sativa Green Crack. Blue Crack reflects a balanced blend of its parents, with an energetic head rush from the Green that is mellowed out and mentally expansive thanks to the Blue, proposing an apt rename of ‘Turquoise’. Although dense by appearance, this flower yields soft, airy buds and a sweet, smooth aroma with blueberry undertones. As a high-energy strain with moderate to long-lasting effects, Blue Crack is a popular choice for daytime medicating.",,,,,,0.0,0.019,0.0,0.0,0.0,0.02,0.0,0.043,0.002,0.0,0.0,0.008,1.036,0.0,0.035,0.93,,0.435,0.187,0.0,0.0,,0.55,0.0,20.49,0.0,0.0,0.05,0.0,0.0,0.0,0.42,0.09,0.0,
Blue-Dream,hybrid,4.4,"Relaxed,Happy,Uplifted,Euphoric,Creative","Blueberry,Berry,Sweet","Blue Dream, a sativa-dominant hybrid originating in California, has achieved legendary status among West Coast strains. Crossing a Blueberry indica with the sativa Haze, Blue Dream balances full-body relaxation with gentle cerebral invigoration. Novice and veteran consumers alike enjoy the level effects of Blue Dream, which ease you gently into a calm euphoria. Some Blue Dream phenotypes express a more indica-like look and feel, but the sativa-leaning variety remains most prevalent.With a sweet berry aroma redolent of its Blueberry parent, Blue Dream delivers swift symptom relief without heavy sedative effects. This makes Blue Dream a popular daytime medicine for patients treating pain, depression, nausea, and other ailments requiring a high THC strain. ",,,,,,0.0,0.0,0.178,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.347,0.476,0.463,0.0,1.158,0.061,,0.222,0.026,0.0,0.0,,7.96,0.0,66.14,0.08,0.24,0.18,0.0,0.0,0.0,0.57,0.2,0.16,
Blue-Frost,hybrid,4.5,"Uplifted,Happy,Relaxed,Euphoric,Creative","Blueberry,Cheese,Menthol",Blue Frost is a hybrid that balances the genetics of Blue Monster and Jack Frost to create a 60/40 indica-dominant cross. Breeder Goldenseed has developed this strain to produce dense buds that show a range of deep violet hues and produces a pungent mixture of aromas. The flavor is an interesting combination of sweet fruity notes with a sharp cheese-like undertone. This hybrid is sure to lift your mood and replace any stress you may have with smile on your face.,,,,,,0.0,0.009,0.007,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.038,0.109,0.33,0.0,0.31,0.857,,0.167,0.177,0.0,0.0,,0.65,0.0,23.4,0.0,0.0,0.06,0.0,0.0,0.0,1.09,0.11,0.0,
