Name,Type,Alias,Rating,Num_Reviews,THC%,Other_Cannabinoids,Main_Effect,Terpene,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
Kimbo Kush,Hybrid,,4.4,245.0,THC 18%,CBG 2%,Sleepy,Myrcene,,,,,,0.0,0.008,0.005,0.0,0.003,0.0,0.0,0.158,0.002,0.005,0.071,0.072,0.03,0.0,0.275,0.019,,0.051,0.327,0.0,0.0,,0.18,0.0,17.17,0.0,0.0,0.06,0.0,0.0,0.0,0.31,0.03,0.0,
Orange Cream,Hybrid,aka Orange Cream #26,4.4,36.0,THC 18%,CBG 1%,Tingly,Caryophyllene,,,,,,0.033,0.004,0.013,0.0,0.0,0.0,0.0,0.026,0.012,0.926,0.0,0.081,0.053,0.029,0.085,0.337,,0.08,0.124,0.016,0.0,,1.2,0.0,17.8,0.0,0.0,0.07,0.0,0.0,0.0,1.03,0.09,0.0,
Chocolate Kush,Indica,,4.5,85.0,THC 17%,CBD 0%,Relaxed,Myrcene,,,,,,0.0,0.012,0.15,0.0,0.003,0.147,0.0,0.157,0.022,0.044,0.173,0.547,0.08,0.0,1.704,0.085,,0.107,0.339,0.0,0.0,,4.18,0.0,69.74,0.0,0.0,0.28,0.0,0.0,0.0,2.03,0.33,0.0,
Lemon G,Sativa,,4.4,234.0,THC 17%,CBD 0%,Uplifted,Limonene,,,,,,0.0,0.018,0.197,0.049,0.111,0.611,0.0,0.641,0.16,0.156,1.662,0.638,0.12,0.0,2.077,1.161,,0.162,0.34,0.0,0.0,,4.92,0.0,69.23,0.24,0.0,0.18,0.0,0.0,0.0,1.42,0.31,0.04,
White Buffalo,Sativa,aka Tatanka,4.5,266.0,THC 19%,CBD 0%,Energetic,Caryophyllene,,,,,,0.0,0.007,0.02,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.048,0.107,0.03,0.0,0.409,0.23,,0.06,0.198,0.0,0.0,,0.38,0.0,18.02,0.0,0.0,0.04,0.0,0.0,0.0,1.07,0.04,0.01,
Yoda OG,Indica,aka Yoda,4.4,361.0,THC 21%,CBD 0%,Sleepy,Caryophyllene,,,,,,0.0,0.016,0.004,0.0,0.006,0.0,0.0,0.128,0.0,0.005,0.031,0.095,0.052,0.0,0.316,1.558,,0.107,0.483,0.0,0.0,,0.57,0.0,21.56,0.0,0.0,0.05,0.0,0.0,0.0,0.14,0.13,0.0,
Banana Split,Hybrid,,4.3,107.0,THC 14%,CBD 0%,Happy,Myrcene,,,,,,0.028,0.0,0.0,0.0,0.0,0.031,0.0,0.083,0.0,0.768,0.0,0.018,0.049,0.018,0.062,0.461,,0.088,0.27,0.0,0.0,,1.28,0.0,15.77,0.0,0.0,0.04,0.0,0.0,0.0,0.32,0.04,0.0,
Blueberry Pie,Hybrid,,4.4,113.0,THC 23%,CBG 1%,Relaxed,Caryophyllene,,,,,,0.0,0.014,0.003,0.0,0.002,0.0,0.0,0.25,0.002,0.015,0.0,0.104,0.057,0.0,0.366,0.08,,0.1,0.654,0.0,0.0,,1.28,0.0,24.1,0.0,0.0,0.02,0.0,0.0,0.0,0.64,0.09,0.0,
Lime OG,Hybrid,,4.6,33.0,THC 22%,CBG 2%,Tingly,Myrcene,,,,,,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.928,0.0,0.027,0.819,0.712,0.112,0.0,2.01,1.229,,0.114,1.348,0.071,0.0,,79.82,0.0,0.0,0.95,0.71,0.0,0.21,0.0,0.0,0.0,2.27,2.57,
3 Kings,Hybrid,aka Three Kings,4.4,352.0,THC 19%,CBD 0%,Uplifted,Caryophyllene,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.125,0.253,0.023,0.0,0.637,0.19,,0.047,0.339,0.0,0.0,,1.16,0.0,20.52,0.0,0.0,0.03,0.0,0.0,0.0,0.42,0.07,0.0,
